A	1000	500	100	0	0
A	1001	300	101	0	1
A	1002	100	102	1	0
A	1003	-100	103	1	1
A	1004	-300	104	1	2
A	1005	-500	105	1	3
A	1006	-700	106	1	4
B	1007	-900	107	1	5
B	1008	-1100	100	0	0
B	1009	-1300	101	0	1
B	1010	-1500	102	1	0
B	1011	-1700	103	1	1
B	1012	-1900	104	1	2
B	1013	-2100	105	1	3
B	1014	-2300	106	1	4
B	1015	-2500	107	1	5
C	2007	-900	107	1	5
C	3008	-1100	100	0	0
C	4009	-1300	101	0	1
C	5010	-1500	102	1	0
C	6011	-1700	103	1	1
C	7012	-1900	104	1	2
C	8013	-2100	105	1	3
C	9014	-2300	106	1	4
C	10015	-2500	107	1	5
